Date,Vuosimuutos (%),Hinta (snt/kWh),Juustotjarahkat,Liha,Maito,Viljatuotteetjaleipa,Voi
2015-03-01,-0.1,5.41,121.67,129.53,139.23,121.31,97.34
2015-04-01,-0.2,5.38,121.31,129.14,139.34,121.39,97.34
2015-05-01,0.0,5.23,120.08,127.1,138.83,120.99,95.65
2015-06-01,-0.1,5.08,119.72,126.88,139.06,121.1,94.85
2015-07-01,-0.2,5.16,119.57,126.79,138.63,120.9,95.01
2015-08-01,-0.2,5.19,119.12,126.4,139.07,121.01,95.51
2015-09-01,-0.6,5.35,118.69,124.96,137.93,120.76,95.1
2015-10-01,-0.3,5.32,118.46,125.21,137.43,120.7,93.9
2015-11-01,-0.2,5.32,118.19,124.82,137.63,120.9,94.14
2015-12-01,-0.2,5.17,118.09,124.58,137.52,120.84,94.52
2016-01-01,0.0,5.23,117.58,124.21,137.22,120.61,94.26
2016-02-01,-0.1,5.04,117.06,123.31,136.78,119.99,94.38
2016-03-01,0.0,5.15,116.56,123.15,136.89,119.88,94.24
2016-04-01,0.3,4.95,116.76,123.41,136.93,120.17,93.49
2016-05-01,0.3,4.95,116.42,122.45,136.6,119.89,93.89
2016-06-01,0.4,5.23,116.21,122.43,136.89,120.01,93.28
2016-07-01,0.5,5.21,116.19,122.57,136.64,119.97,94.05
2016-08-01,0.4,5.32,116.21,122.36,135.65,119.92,94.7
2016-09-01,0.4,5.32,115.87,123.12,134.95,120.34,94.57
2016-10-01,0.5,5.34,116.06,122.64,135.14,120.38,94.37
2016-11-01,0.7,5.51,115.34,122.41,134.98,120.25,93.99
2016-12-01,1.0,5.33,115.86,122.17,135.17,120.2,93.36
2017-01-01,0.8,5.15,115.62,121.65,134.9,119.71,94.23
2017-02-01,1.2,5.21,115.43,121.95,134.66,119.88,93.93
2017-03-01,0.8,5.09,115.68,121.44,134.13,119.7,93.91
2017-04-01,0.8,5.12,115.87,121.45,134.02,119.74,93.57
2017-05-01,0.7,5.06,118.03,120.84,134.86,120.21,97.48
2017-06-01,0.7,4.98,118.2,120.8,134.89,120.0,97.66
2017-07-01,0.5,5.15,118.46,120.58,134.49,119.98,96.93
2017-08-01,0.7,5.27,118.34,121.05,134.83,120.12,97.21
2017-09-01,0.8,5.38,117.52,121.75,134.72,120.06,97.63
2017-10-01,0.5,5.32,117.42,121.86,134.86,120.22,97.62
2017-11-01,0.8,5.15,117.24,121.73,135.41,120.2,97.96
2017-12-01,0.5,5.12,117.33,121.98,135.11,120.23,98.35
2018-01-01,0.8,5.17,117.8,122.29,135.36,120.14,98.66
2018-02-01,0.6,5.55,120.23,123.12,136.24,120.16,105.94
2018-03-01,0.8,5.5,119.68,123.13,136.48,120.47,106.01
2018-04-01,0.8,5.29,120.34,123.12,136.53,120.53,105.52
2018-05-01,1.0,5.37,120.23,122.46,136.26,120.26,105.55
2018-06-01,1.2,5.37,120.27,122.64,136.18,120.32,105.49
2018-07-01,1.4,5.57,120.48,122.91,136.2,120.38,106.23
2018-08-01,1.3,5.73,120.46,123.25,136.25,120.51,106.44
2018-09-01,1.3,5.92,120.49,124.15,136.21,120.62,108.18
2018-10-01,1.5,5.84,120.49,123.88,136.13,120.73,108.41
2018-11-01,1.3,6.01,120.31,124.67,135.4,120.85,109.23
2018-12-01,1.2,6.06,120.2,124.62,135.9,120.95,109.52
2019-01-01,1.1,5.85,120.8,125.49,135.93,121.21,109.72
2019-02-01,1.3,6.12,123.69,128.49,136.06,122.45,112.94
2019-03-01,1.1,5.61,123.57,128.5,135.91,122.46,111.77
2019-04-01,1.5,5.44,123.47,128.2,135.75,122.68,112.95
2019-05-01,1.2,5.62,123.36,128.39,135.9,122.91,112.84
2019-06-01,1.0,5.43,123.52,129.08,135.67,123.09,113.0
2019-07-01,0.8,5.74,123.51,129.49,136.02,123.21,112.93
2019-08-01,1.1,5.78,123.64,129.29,136.09,123.22,112.94
2019-09-01,0.9,6.04,122.08,129.53,136.1,123.15,113.23
2019-10-01,0.7,5.99,122.2,129.57,136.21,123.2,113.15
2019-11-01,0.7,5.95,122.28,129.89,135.95,123.24,113.04
2019-12-01,0.9,5.69,121.4,129.37,135.72,123.04,113.36
2020-01-01,1.0,5.45,121.83,128.57,136.36,123.16,113.39
2020-02-01,0.8,5.07,121.99,130.41,136.49,123.55,111.7
2020-03-01,0.6,5.11,122.88,131.64,136.48,123.74,111.62
2020-04-01,-0.3,4.91,122.74,129.98,135.57,123.72,111.71
2020-05-01,-0.2,4.79,122.65,131.41,136.32,124.39,111.74
2020-06-01,0.0,4.94,122.64,131.99,136.02,124.01,111.69
2020-07-01,0.6,5.22,122.39,132.66,136.17,123.92,111.84
2020-08-01,0.2,5.61,122.33,132.35,136.29,123.32,111.46
2020-09-01,0.2,5.95,121.86,131.93,136.57,124.06,111.49
2020-10-01,0.2,5.78,121.94,132.72,136.54,123.77,111.36
2020-11-01,0.2,5.46,121.77,131.54,136.16,123.41,111.26
2020-12-01,0.2,5.71,121.11,131.47,135.89,123.5,111.17
2021-01-01,0.9,5.45,120.36,131.25,136.39,123.78,112.04
2021-02-01,0.9,5.68,121.05,131.81,136.29,123.51,110.59
2021-03-01,1.3,5.8,121.42,132.64,136.44,124.26,111.29
2021-04-01,2.1,4.88,121.1,131.62,135.71,124.53,111.15
2021-05-01,2.2,4.97,120.54,131.45,136.39,124.85,111.06
2021-06-01,2.0,5.56,121.15,131.77,136.38,124.89,111.2
2021-07-01,1.9,6.38,121.02,131.78,136.53,125.15,111.65
2021-08-01,2.2,6.57,121.14,132.09,136.84,124.95,111.2
2021-09-01,2.5,6.66,122.11,132.39,136.94,125.03,110.45
2021-10-01,3.2,6.73,121.81,133.18,136.94,124.89,111.43
2021-11-01,3.7,6.59,121.79,132.86,136.95,125.12,110.75
2021-12-01,3.5,10.43,121.83,132.46,136.9,125.05,110.86
2022-01-01,4.4,11.22,121.98,133.34,136.55,125.59,112.0
2022-02-01,4.5,8.54,124.52,135.66,137.35,127.38,115.16
2022-03-01,5.8,7.81,124.99,135.77,137.88,128.37,115.23
2022-04-01,5.7,6.39,126.9,138.07,138.73,130.17,116.18
2022-05-01,7.0,8.07,134.04,147.35,146.12,132.93,119.29
2022-06-01,7.8,9.98,137.36,153.37,152.22,134.77,123.47
2022-07-01,7.8,11.28,144.45,153.71,152.18,138.48,126.67
2022-08-01,7.6,15.21,145.58,154.23,152.97,139.66,127.96
2022-09-01,8.1,14.53,149.66,161.47,154.83,145.36,134.71
2022-10-01,8.3,10.39,149.71,162.62,159.38,146.23,133.55
2022-11-01,9.1,11.21,150.91,161.64,161.78,145.94,139.7
2022-12-01,9.1,15.46,149.75,159.91,161.76,146.19,138.51
2023-01-01,8.4,12.33,150.39,159.95,162.76,147.46,141.68
